病診区分,市区町村名称,医療機関名,住所,緯度,経度,都道府県コード,二次医療圏コード,二次医療圏名,構想区域コード,構想区域名称,市区町村コード,市区町村名称.1,医療機関コード（医科）,設置主体,外来を行っている診療科　１．内科,外来を行っている診療科　２．呼吸器内科,外来を行っている診療科　３．循環器内科,外来を行っている診療科　４．消化器内科（胃腸内科）,外来を行っている診療科　５．腎臓内科,外来を行っている診療科　６．神経内科,外来を行っている診療科　７．糖尿病内科（代謝内科）,外来を行っている診療科　８．血液内科,外来を行っている診療科　９．皮膚科,外来を行っている診療科　10．アレルギー科,外来を行っている診療科　11．リウマチ科,外来を行っている診療科　12．感染症内科,外来を行っている診療科　13．小児科,外来を行っている診療科　14．精神科,外来を行っている診療科　15．心療内科,外来を行っている診療科　16．外科,外来を行っている診療科　17．呼吸器外科,外来を行っている診療科　18．心臓血管外科,外来を行っている診療科　19．乳腺外科,外来を行っている診療科　20．気管食道外科,外来を行っている診療科　21．消化器外科（胃腸外科）,外来を行っている診療科　22．泌尿器科,外来を行っている診療科　23．肛門外科,外来を行っている診療科　24．脳神経外科,外来を行っている診療科　25．整形外科,外来を行っている診療科　26．形成外科,外来を行っている診療科　27．美容外科,外来を行っている診療科　28．眼科,外来を行っている診療科　29．耳鼻咽喉科,外来を行っている診療科　30．小児外科,外来を行っている診療科　31．産婦人科,外来を行っている診療科　32．産科,外来を行っている診療科　33．婦人科,外来を行っている診療科　34．リハビリテーション科,外来を行っている診療科　35．放射線科,外来を行っている診療科　36．麻酔科,外来を行っている診療科　37．病理診断科,外来を行っている診療科　38．臨床検査科,外来を行っている診療科　39．救急科,外来を行っている診療科　40．歯科,外来を行っている診療科　41．矯正歯科,外来を行っている診療科　42．小児歯科,外来を行っている診療科　43．歯科口腔外科,外来を行っている診療科　44．その他の診療科,初診患者数（年間）,紹介患者数（年間）,逆紹介患者数（年間）,紹介率（年間）,逆紹介率（年間）,医師 常勤,医師 非常勤,看護師 常勤,看護師 非常勤,准看護師 常勤,准看護師 非常勤,看護補助者 常勤,看護補助者 非常勤,助産師 常勤,助産師 非常勤,理学療法士 常勤,理学療法士 非常勤,作業療法士 常勤,作業療法士 非常勤,言語聴覚士 常勤,言語聴覚士 非常勤,薬剤師 常勤,薬剤師 非常勤,臨床工学技士 常勤,臨床工学技士 非常勤,管理栄養士 常勤,管理栄養士 非常勤,救急救命士 常勤,救急救命士 非常勤,専門看護師 常勤,専門看護師 非常勤,認定看護師 常勤,認定看護師 非常勤,特定行為研修修了看護師 常勤,特定行為研修修了看護師 非常勤,マルチスライスCT  64列以上,マルチスライスCT  16列以上64列未満,マルチスライスCT  16列未満,その他のＣＴ,MRI ３テスラ以上,MRI 1.5テスラ以上３テスラ未満,MRI 1.5テスラ未満,血管連続撮影装置,ＳＰＥＣＴ,マンモグラフィ,ＰＥＴ,ＰＥＴＣＴ,ＰＥＴＭＲＩ,ガンマナイフ,サイバーナイフ,強度変調放射線治療器（IMRT）,遠隔操作式密封小線源治療装置,内視鏡手術用支援機器,休日に受診した患者延べ数（年間）,診察後直ちに入院となった患者延べ数（年間）,夜間・時間外に受診した患者延べ数（年間）,診察後直ちに入院となった患者延べ数（年間）.1,救急車の受入件数（年間）,報告困難な時期があった場合の報告対象期間,都道府県名,診療科対応数,高度機器保有数,構造スコア,構造スコア偏差値,中心緯度,中心経度,中心距離_km,施設評価スコア
病院,鹿嶋市,医療法人社団善仁会 小山記念病院,茨城県鹿嶋市厨５丁目１−２,35.9737396,140.6237364,08,804.0,鹿行,804.0,鹿行,8222.0,鹿嶋市,812210391.0,医療法人,〇,〇,〇,〇,〇,〇,〇,-,-,-,-,-,-,-,-,〇,〇,〇,〇,-,〇,〇,-,〇,〇,〇,-,〇,-,-,〇,-,-,〇,〇,〇,-,-,〇,-,-,-,〇,-,14977,4691,3662,31.3,24.5,59,18.7,32,2.0,1,1.5,4,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,1,0,2,0,0,0,2,1,0,2,0,2,0,0,0,0,0,0,0,0,1730.0,260.0,2574.0,560.0,2390.0,-,茨城県,23,1,11.01704568311855,76.67509616818778,35.96064308333334,140.6298684111111,1.5573236051971628,6.08314159335827
病院,鹿嶋市,公益財団法人 鹿島病院,茨城県鹿嶋市平井１１２９−２,35.9641831,140.6592181,08,804.0,鹿行,804.0,鹿行,8222.0,鹿嶋市,812210011.0,公益法人,〇,〇,-,〇,-,-,-,-,-,-,-,-,-,〇,-,-,-,-,-,-,-,-,-,-,〇,-,-,〇,-,-,-,-,〇,〇,-,-,-,-,-,〇,-,-,〇,-,1298,190,336,14.6,25.9,11,4.8,9,2.5,2,1,0,0,0,0,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,-,茨城県,10,1,0.1465791962993477,50.35490586768938,35.96064308333334,140.6298684111111,2.67068230476206,0.3765827834975848
病院,鹿嶋市,医療法人晴生会 鹿島神宮前病院,茨城県鹿嶋市宮中１９９５−２４,35.964534,140.6350857,08,804.0,鹿行,804.0,鹿行,8222.0,鹿嶋市,812210193.0,医療法人,〇,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,〇,-,-,-,-,-,-,-,-,-,-,347,0,0,0,0,2,1.5,0,0.0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-,茨城県,2,0,-3.9074305334796007,40.53910746591573,35.96064308333334,140.6298684111111,0.6384944116963159,-0.3889985596658092
病院,鹿嶋市,前田病院,茨城県鹿嶋市宮中5201,35.9655653,140.6343131,08,804.0,鹿行,804.0,鹿行,8222.0,鹿嶋市,812210110.0,医療法人,〇,-,-,-,〇,-,〇,-,〇,-,-,-,-,-,-,-,-,-,-,-,-,〇,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,〇,365,467,13,127.9,3.6,11,1.4,8,0.9,7,0.9,2,0,0,0,0,0,0,0,0,0,2,0.7,6,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-,茨城県,6,1,-0.46961717306969364,48.86293625222397,35.96064308333334,140.6298684111111,0.677927101025749,0.4391930718576781
病院,神栖市,神栖済生会病院,茨城県神栖市知手中央７丁目２−４５,35.872656,140.7066117,08,804.0,鹿行,804.0,鹿行,8232.0,神栖市,812910222.0,済生会,〇,〇,〇,〇,〇,〇,-,-,〇,-,-,-,〇,-,-,〇,-,-,〇,-,〇,〇,〇,〇,〇,〇,-,〇,〇,〇,-,-,〇,〇,〇,〇,-,〇,-,-,-,-,-,〇,13802,2159,3447,15.6,25,28,11.1,13,9.9,4,0.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,3239.0,,3260.0,376.0,2394.0,-,茨城県,25,1,6.630952203207615,66.05523774656353,35.96064308333334,140.6298684111111,11.978443842691968,3.9184566235316507
病院,神栖市,社会福祉法人白十字会 白十字総合病院,茨城県神栖市賀２１４８,35.8999398,140.6207508,08,804.0,鹿行,804.0,鹿行,8232.0,神栖市,812910016.0,社会福祉法人,〇,〇,〇,〇,-,-,-,-,〇,-,〇,-,〇,-,-,〇,〇,-,〇,-,〇,〇,〇,〇,〇,-,-,〇,〇,-,〇,-,-,〇,〇,〇,-,-,-,〇,-,〇,-,-,8671,881,769,10.2,8.9,24,6.4,11,3.1,1,1.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1216.0,,1008.0,356.0,1666.0,-,茨城県,23,2,6.231252037549001,65.08746102455888,35.96064308333334,140.6298684111111,6.799635301512117,3.471660822357617
病院,神栖市,医療法人社団土合会 渡辺病院,茨城県神栖市土合本町２丁目９８０９−２０,35.7921116,140.7756798,08,804.0,鹿行,804.0,鹿行,8232.0,神栖市,812910248.0,医療法人,〇,-,〇,〇,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,〇,-,-,-,-,-,-,-,-,-,-,1641,349,108,21.3,6.6,0,0.0,0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,-,茨城県,4,2,-1.238566887789817,47.00111156903416,35.96064308333334,140.6298684111111,22.88614978619841,-2.10747128778497
病院,神栖市,清仁会病院,茨城県神栖市矢田部１１３４５−１,35.8104903,140.7769194,08,804.0,鹿行,804.0,鹿行,8232.0,神栖市,812910263.0,医療法人,〇,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,214,4,0,1.9,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-,茨城県,1,1,-2.8851727644293694,43.01425598416832,35.96064308333334,140.6298684111111,21.31348023772183,-2.3389999313378054
病院,行方市,土浦協同病院なめがた地域医療センター,茨城県行方市井上藤井９８−８,36.0695928,140.456436,08,804.0,鹿行,804.0,鹿行,8233.0,行方市,813010113.0,厚生連,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,-,〇,-,-,〇,-,-,-,-,-,〇,-,〇,〇,-,-,〇,〇,-,-,-,〇,〇,〇,-,-,〇,-,-,-,-,-,-,7616,1095,1554,14.4,20.4,7,4.6,12,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,-,茨城県,22,2,3.0000095939626785,57.2637934638924,35.96064308333334,140.6298684111111,19.750579997876233,-0.747927635006099
病院,鉾田市,医療法人三尚会 高須病院,茨城県鉾田市鉾田２５７０,36.1529757,140.5071229,08,804.0,鹿行,804.0,鹿行,8234.0,鉾田市,817210032.0,医療法人,〇,〇,〇,〇,-,〇,〇,-,-,-,-,-,〇,-,-,〇,-,-,-,-,-,〇,-,〇,〇,-,-,-,〇,-,-,-,-,-,-,-,-,-,〇,-,-,-,-,-,3959,626,30,15.8,0.8,2,4.5,2,2.4,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,578.0,,447.0,,722.0,-,茨城県,13,2,1.1470602232710299,52.777327302304194,35.96064308333334,140.6298684111111,24.065090718695075,-0.7621125068126544
病院,鉾田市,医療法人東湖会 鉾田病院,茨城県鉾田市安房１６５０−２,36.1663493,140.5244074,08,804.0,鹿行,804.0,鹿行,8234.0,鉾田市,817210081.0,医療法人,〇,-,〇,-,-,-,-,-,〇,-,-,-,〇,-,-,〇,-,-,-,-,〇,〇,-,〇,〇,-,-,〇,〇,-,-,-,-,〇,-,〇,-,-,-,-,-,-,-,-,5694,390,43,6.8,0.8,4,4.1,5,0.0,2,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,737.0,,778.0,,,-,茨城県,13,1,-0.4976759123104747,48.79499884058622,35.96064308333334,140.6298684111111,24.75998178890084,-2.1272496246701915
有床診療所,鹿嶋市,井上眼科医院,茨城県鹿嶋市宮中８丁目９−３０,35.962958,140.6255456,08,804.0,鹿行,804.0,鹿行,8222.0,鹿嶋市,812210425.0,医療法人,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,〇,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,1,1.4,1,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-,茨城県,1,0,-3.967567194762399,40.39350116917409,35.96064308333334,140.6298684111111,0.4665059424420897,-0.3852787680317824
有床診療所,鹿嶋市,医療法人正友会 島医院,茨城県鹿嶋市宮中1996番地6,35.9648603,140.6360617,08,804.0,鹿行,804.0,鹿行,8222.0,鹿嶋市,812210680.0,医療法人,-,-,-,-,-,-,-,-,〇,-,-,-,-,-,-,-,-,-,-,-,-,〇,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,1,0.0,2,0.6,2,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,348.0,,,,,-,茨城県,2,1,-2.433082902468163,44.10888161170446,35.96064308333334,140.6298684111111,0.7284201016015759,-0.04157922479440734
有床診療所,鹿嶋市,医療法人社団葉山産婦人科,茨城県鹿嶋市宮中１９９５−２５ 大字）１９９５−２５,35.9648716,140.6381611,08,804.0,鹿行,804.0,鹿行,8222.0,鹿嶋市,812210565.0,医療法人,〇,-,-,-,-,-,-,-,-,-,-,-,〇,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,〇,〇,〇,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,2,4.6,9,2.5,1,0.3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0,0.0,-,茨城県,5,0,-2.3674119545871974,44.26788783719965,35.96064308333334,140.6298684111111,0.8821097649949158,-0.042014068277738126
有床診療所,鹿嶋市,大野診療所,茨城県鹿嶋市和８２４−１,36.040028,140.611665,08,804.0,鹿行,804.0,鹿行,8222.0,鹿嶋市,812210342.0,医療法人,〇,-,-,〇,-,-,-,-,-,-,-,-,-,-,-,〇,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1276,177,137,13.9,10.7,2,1.1,1,0.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0,,-,茨城県,3,0,-3.655393140967738,41.14935470248071,35.96064308333334,140.6298684111111,8.977806850327017,-1.214348053187012
有床診療所,神栖市,鹿嶋ハートクリニック,茨城県神栖市平泉１−１６８,35.9122289,140.6357153,08,804.0,鹿行,804.0,鹿行,8232.0,神栖市,812910404.0,医療法人,〇,-,〇,-,-,-,-,-,-,-,-,-,-,-,-,-,-,〇,-,-,-,-,-,〇,-,-,-,-,-,-,-,-,-,-,〇,〇,-,-,-,-,-,-,-,-,0,0,0,0,0,10,0.7,4,0.7,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,190.0,-,茨城県,6,2,0.45583596226667056,51.103695898167494,35.96064308333334,140.6298684111111,5.409086664879275,0.3954124040361604
有床診療所,行方市,つばさクリニック,茨城県行方市島並１５１１,36.0245409,140.4886312,08,804.0,鹿行,804.0,鹿行,8233.0,行方市,813010147.0,個人,〇,-,-,-,-,-,-,-,-,-,-,-,〇,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,〇,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,1,0.0,0,0.0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-,茨城県,3,0,-3.8554456104170827,40.66497631150955,35.96064308333334,140.6298684111111,14.558248866994957,-1.855923511294093
有床診療所,神栖市,済生会土合クリニック,茨城県神栖市土合本町１丁目９１０８番３,35.7899503,140.7815702,08,804.0,鹿行,804.0,鹿行,8232.0,神栖市,812910651.0,済生会,〇,-,-,-,-,-,-,-,-,-,-,-,〇,-,-,〇,-,-,-,-,-,-,-,-,〇,-,-,〇,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,1,1.1,2,2.7,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,-,茨城県,5,0,-3.3513708253933583,41.88547078463951,35.96064308333334,140.6298684111111,23.389578554926405,-2.6725441277763986
